Project	Export	started	ended	Duration (min)	machine
BUS2	V330-2	24.05.2017 04:39	24.05.2017 04:53	14	PC36132
BUS2	E400	24.05.2017 03:55	24.05.2017 08:04	249	PC37156
BUS2	V360	23.05.2017 23:26	24.05.2017 02:09	163	PC36132
BUS2	V340	23.05.2017 23:12	23.05.2017 23:26	14	PC36132
BUS2	V330-3	23.05.2017 23:00	23.05.2017 23:12	12	PC36132
BUS2	V330-1	23.05.2017 16:05	23.05.2017 16:14	9	PC37156
BUS2	V290	23.05.2017 15:59	23.05.2017 16:05	6	PC37156
BUS2	V340	23.05.2017 15:44	23.05.2017 15:59	15	PC37156
BUS2	E400	23.05.2017 14:44	23.05.2017 18:07	203	PC36132
BUS2	V360	23.05.2017 11:26	23.05.2017 14:44	198	PC36132
BUS2	V330-2	23.05.2017 11:12	23.05.2017 11:26	14	PC36132
BUS2	V330-3	23.05.2017 11:00	23.05.2017 11:12	12	PC36132
BUS2	V360	23.05.2017 06:40	23.05.2017 07:15	35	PC36132
BUS2	V300	23.05.2017 05:41	23.05.2017 15:44	603	PC37156
SUS	RIV	23.05.2017 02:47	23.05.2017 05:41	174	PC37156
SUS	RIE	23.05.2017 02:17	23.05.2017 02:47	30	PC37156
BUS2	V330-1	23.05.2017 01:32	23.05.2017 01:40	8	PC36132
BUS2	V330-2	23.05.2017 01:18	23.05.2017 01:32	14	PC36132
BUS2	V340	23.05.2017 01:04	23.05.2017 01:18	14	PC36132
BUS2	E400	22.05.2017 23:11	23.05.2017 02:17	186	PC37156
BUS2	V330-3	22.05.2017 23:00	22.05.2017 23:11	11	PC37156
BUS2	V330-3	22.05.2017 13:11	22.05.2017 13:23	12	PC36132
BUS2	E400	22.05.2017 12:11	22.05.2017 15:12	181	PC37156
BUS2	V330-1	22.05.2017 12:02	22.05.2017 12:10	8	PC37156
BUS2	V290	22.05.2017 11:45	22.05.2017 12:02	17	PC37156
BUS2	V330-2	22.05.2017 11:32	22.05.2017 11:45	13	PC37156
BUS2	V340	22.05.2017 11:17	22.05.2017 11:32	15	PC37156
BUS2	V360	22.05.2017 11:00	22.05.2017 11:17	17	PC37156
SUS	RIE	22.05.2017 01:37	22.05.2017 02:01	24	PC37156
SUS	RIV	22.05.2017 00:45	22.05.2017 01:37	52	PC37156
BUS2	V360	22.05.2017 00:29	22.05.2017 00:45	16	PC37156
BUS2	V330-1	22.05.2017 00:21	22.05.2017 00:29	8	PC37156
BUS2	E400	22.05.2017 00:00	22.05.2017 00:21	21	PC37156
BUS2	V330-3	21.05.2017 23:29	21.05.2017 23:40	11	PC37156
BUS2	V330-2	21.05.2017 23:16	21.05.2017 23:29	13	PC37156
BUS2	V340	21.05.2017 23:00	21.05.2017 23:16	16	PC37156
BUS2	V300	21.05.2017 12:22	21.05.2017 13:51	89	PC36132
BUS2	V340	21.05.2017 12:14	21.05.2017 12:29	15	PC37156
BUS2	V330-1	21.05.2017 12:06	21.05.2017 12:14	8	PC37156
BUS2	V290	21.05.2017 12:00	21.05.2017 12:06	6	PC37156
BUS2	V330-2	21.05.2017 11:48	21.05.2017 12:00	12	PC37156
BUS2	E400	21.05.2017 11:27	21.05.2017 11:48	21	PC37156
BUS2	V360	21.05.2017 11:11	21.05.2017 11:27	16	PC37156
BUS2	V330-3	21.05.2017 11:00	21.05.2017 11:11	11	PC37156
SUS	RIV	21.05.2017 01:18	21.05.2017 02:57	99	PC37156
SUS	RIE	21.05.2017 00:51	21.05.2017 01:18	27	PC37156
BUS2	V340	21.05.2017 00:36	21.05.2017 00:51	15	PC37156
BUS2	V330-2	21.05.2017 00:24	21.05.2017 00:36	12	PC37156
BUS2	V330-1	21.05.2017 00:16	21.05.2017 00:24	8	PC37156
BUS2	V360	21.05.2017 00:00	21.05.2017 00:16	16	PC37156
BUS2	E400	20.05.2017 23:11	20.05.2017 23:32	21	PC37156
BUS2	V330-3	20.05.2017 23:00	20.05.2017 23:11	11	PC37156
SUS	RIV	20.05.2017 18:13	20.05.2017 19:05	52	PC37156
BUS2	V300	20.05.2017 14:08	21.05.2017 00:42	634	PC36132
BUS2	V360	20.05.2017 13:49	20.05.2017 14:08	19	PC36132
BUS2	V330-2	20.05.2017 13:37	20.05.2017 13:49	12	PC36132
BUS2	E400	20.05.2017 13:13	20.05.2017 13:37	24	PC36132
BUS2	V330-3	20.05.2017 13:01	20.05.2017 13:13	12	PC36132
BUS2	V340	20.05.2017 12:46	20.05.2017 13:01	15	PC36132
BUS2	V290	20.05.2017 12:40	20.05.2017 12:46	6	PC36132
BUS2	V330-1	20.05.2017 12:32	20.05.2017 12:40	8	PC36132
SUS	RIE	20.05.2017 09:26	20.05.2017 09:53	27	PC37156
BUS2	V360	20.05.2017 00:50	20.05.2017 01:06	16	PC37156
BUS2	E400	20.05.2017 00:28	20.05.2017 00:52	24	PC36132
BUS2	V330-2	19.05.2017 23:35	20.05.2017 00:27	52	PC36132
BUS2	V330-1	19.05.2017 23:27	19.05.2017 23:35	8	PC36132
BUS2	V330-3	19.05.2017 23:15	19.05.2017 23:27	12	PC36132
BUS2	V340	19.05.2017 23:00	19.05.2017 23:15	15	PC36132
BUS2	V300	19.05.2017 21:57	20.05.2017 00:49	172	PC37156
SUS	RIV	19.05.2017 14:21	19.05.2017 16:48	147	PC37156
BUS2	V330-1	19.05.2017 14:12	19.05.2017 14:21	9	PC37156
BUS2	V290	19.05.2017 14:06	19.05.2017 14:12	6	PC37156
BUS2	V360	19.05.2017 13:50	19.05.2017 14:06	16	PC37156
BUS2	E400	19.05.2017 13:28	19.05.2017 13:50	22	PC37156
BUS2	V340	19.05.2017 13:15	19.05.2017 13:28	13	PC37156
BUS2	V330-2	19.05.2017 13:04	19.05.2017 13:15	11	PC37156
BUS2	V330-3	19.05.2017 12:54	19.05.2017 13:04	10	PC37156
SUS	RIE	19.05.2017 12:24	19.05.2017 12:54	30	PC37156
